"row_number","Timestamp","Passo","Prompt ID","Severidade","Linha (Config extra)","Parâmetro","Funcionalidade","Problema","Sugestão","pipeline_name","action","var","result","details","pipeline_name"
"2","15/03/2026 00:17:11","0","PIPELINE_MAKER_ContextKV","INFO","","M05_RUN_DUMP","Monitorizacao tecnica de uma etapa da execucao.
ACAO EM CURSO: Registo tecnico da operacao em curso","Run dump ativo em C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER\DEBUG_PAYLOAD_DUMPS\20260315_001711_PIPELINE_MAKER_ContextKV","Os ficheiros request/response desta run serao elegiveis para upload Git quando Git LOG estiver ON.","","","","","",""
"3","15/03/2026 00:17:11","0","PIPELINE_MAKER_ContextKV","ALERTA","","OPENAI_API_KEY","Comunicacao com a API e validacao tecnica do pedido.
ACAO EM CURSO: Leitura de configuracao e metadados do passo | Validacao de disponibilidade da chave API em Config","Config!B1 contém API key literal, mas OPENAI_API_KEY do ambiente foi priorizada. Recomenda-se remover a key literal da folha Config.","Sem ação imediata; recomendado migrar para variável de ambiente.","","","","","",""
"4","15/03/2026 00:17:12","0","PIPELINE_MAKER_ContextKV","INFO","","PIPELINE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Validacao de transicao de Next PROMPT | Aplicacao de limites de execucao da pipeline | Controlo de transicao/limites da pipeline | contexto: inputFolder=[C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER]","Inicio pipeline. startId=[PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5] maxSteps=10 maxRep=3 inputFolder=[C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER]","OK","","","","","",""
"5","15/03/2026 00:17:12","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","GIT_LOG_BIND","Monitorizacao tecnica de uma etapa da execucao.
ACAO EM CURSO: Registo tecnico da operacao em curso","Preflight Git LOG OK. target_sheet=GIT LOG | headers_count=10 | has_timestamp=SIM | has_prompt_id=SIM | meta_col=11","OK","","","","","",""
"6","15/03/2026 00:17:12","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=enter_step","stage=enter_step | row=1/4","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"7","15/03/2026 00:17:12","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=before_context_inject","stage=before_context_inject","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"8","15/03/2026 00:17:12","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=catalog_loaded | prompt=4260","stage=catalog_loaded | lenPrompt=4260","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"9","15/03/2026 00:17:12","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=after_context_inject","stage=after_context_inject | injectOk=SIM","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"10","15/03/2026 00:17:12","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=before_inputs_attach","stage=before_inputs_attach","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"11","15/03/2026 00:17:12","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=after_inputs_attach | prompt=4488","stage=after_inputs_attach | lenPrompt=4488","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"12","15/03/2026 00:17:12","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=config_parse_start","stage=config_parse_start | lenConfigExtra=208","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"13","15/03/2026 00:17:12","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=config_parsed","stage=config_parsed | lenAudit=224|lenInputJson=0","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"14","15/03/2026 00:17:12","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | contexto: stage=files_prepare_start","stage=files_prepare_start | temFiles=SIM","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"15","15/03/2026 00:17:12","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","PDF_CACHE_HIT","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Preparacao e transformacao de anexos | Gestao da cache de conversao PDF para anexos Office","PDF em cache usado (sidecar OK): FORMULARIO_DE_PROMPTS_1_2_2026-02-23.docx","Sem reconversão. Se o DOCX mudar, o sourceHash muda e será reconvertido.","","","","","",""
"16","15/03/2026 00:17:14","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","FILES UPLOAD","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Preparacao e transformacao de anexos | Upload/ligacao de anexos no pedido | Associacao de ficheiro por file_id no payload | contexto: file_id=file-YH2X92ynPr1DbxyB4xNuHF","Upload OK | HTTP 200 | file_id=file-YH2X92ynPr1DbxyB4xNuHF | purpose=user_data | reuse=TRUE (config) | cache_invalida: file_id inativo (GET /v1/files/file-J88f7QKxVgciNDnRzBMLCL => HTTP 404 | {
  ""error"": {
    ""message"": ""No such File object: file-J88f7QKxVgciNDnRzBMLCL"",
    ""type"": ""invalid_request_error"",
    ""param"": ""id"",
    ""code"": null
  },
  ""detail"": {
    ""message"": ""No such Fi); cache_ignorada(path): ficheiro mudou (size/lastmod)","","","","","","",""
"17","15/03/2026 00:17:14","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","FILES_ITEM_TRACE","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Resolucao de item FILES declarado no INPUTS | Aplicacao de flags required/latest/as_pdf/as_is/text_embed | Upload/ligacao de anexos no pedido | Associacao de ficheiro por file_id no payload | contexto: requested=FORMULARIO_DE_PROMPTS*.docx | resolved=FORMULARIO_DE_PROMPTS_1_2_2026-02-23.docx | full_path=C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER\FORMULARIO_DE_PROMPTS_1_2_2026-02-23.docx | file_id=file-YH2X92ynPr1DbxyB4xNuHF | status=OK | mode=pdf_upload","status=OK | required=SIM | requested=FORMULARIO_DE_PROMPTS*.docx | resolved=FORMULARIO_DE_PROMPTS_1_2_2026-02-23.docx | mode=pdf_upload | file_id=file-YH2X92ynPr1DbxyB4xNuHF | full_path=C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER\FORMULARIO_DE_PROMPTS_1_2_2026-02-23.docx | problema_tipo=ANEXADO_COM_SUCESSO | explicacao=Ficheiro resolvido e processado sem erro para o modo pedido/efetivo. Regra latest ativa.","Sem acao necessaria.","","","","","",""
"18","15/03/2026 00:17:18","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","FILES UPLOAD","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Preparacao e transformacao de anexos | Upload/ligacao de anexos no pedido | Associacao de ficheiro por file_id no payload | contexto: file_id=file-FCuQ1bWzjZZq31qsnAQkjS","Upload OK | HTTP 200 | file_id=file-FCuQ1bWzjZZq31qsnAQkjS | purpose=user_data | reuse=TRUE (config) | cache_invalida: file_id inativo (GET /v1/files/file-XPU7AQoAbjaxysxzqji7Yq => HTTP 404 | {
  ""error"": {
    ""message"": ""No such File object: file-XPU7AQoAbjaxysxzqji7Yq"",
    ""type"": ""invalid_request_error"",
    ""param"": ""id"",
    ""code"": null
  },
  ""detail"": {
    ""message"": ""No such Fi); cache_invalida(path): file_id inativo (GET /v1/files/file-XPU7AQoAbjaxysxzqji7Yq => HTTP 404 | {
  ""error"": {
    ""message"": ""No such File object: file-XPU7AQoAbjaxysxzqji7Yq"",
    ""type"": ""invalid_request_error"",
    ""param"": ""id"",
    ""code"": null
  },
  ""detail"": {
    ""message"": ""No such Fi)","","","","","","",""
"19","15/03/2026 00:17:18","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","FILES_ITEM_TRACE","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Resolucao de item FILES declarado no INPUTS | Aplicacao de flags required/latest/as_pdf/as_is/text_embed | Upload/ligacao de anexos no pedido | Associacao de ficheiro por file_id no payload | contexto: requested=ORIENTACOES_PIPELINE*.pdf | resolved=ORIENTACOES_PIPELINE_E_PROMPT_CREATION_automatica_2026-02-28_index_yaml_sec_id_v6_7.pdf | full_path=C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER\ORIENTACOES_PIPELINE_E_PROMPT_CREATION_automatica_2026-02-28_index_yaml_sec_id_v6_7.pdf | file_id=file-FCuQ1bWzjZZq31qsnAQkjS | status=OK | mode=pdf_upload","status=OK | required=SIM | requested=ORIENTACOES_PIPELINE*.pdf | resolved=ORIENTACOES_PIPELINE_E_PROMPT_CREATION_automatica_2026-02-28_index_yaml_sec_id_v6_7.pdf | mode=pdf_upload | file_id=file-FCuQ1bWzjZZq31qsnAQkjS | full_path=C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER\ORIENTACOES_PIPELINE_E_PROMPT_CREATION_automatica_2026-02-28_index_yaml_sec_id_v6_7.pdf | problema_tipo=ANEXADO_COM_SUCESSO | explicacao=Ficheiro resolvido e processado sem erro para o modo pedido/efetivo. Regra latest ativa.","Sem acao necessaria.","","","","","",""
"20","15/03/2026 00:17:18","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","TEXT_EMBED_TRACE","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Preparacao e transformacao de anexos | Rastreio de integridade de text_embed (name/len_chars/hash_short)","name=PROMPT_TEMPLATE.csv | len_chars=33250 | hash_short=a1a28ca8","Trace tecnico de text_embed para diagnostico de consistencia de conteudo.","","","","","",""
"21","15/03/2026 00:17:18","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","TEXT_EMBED_TRACE","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Preparacao e transformacao de anexos | Rastreio de integridade de text_embed (name/len_chars/hash_short)","name=PROMPT_TEMPLATE.csv | len_chars=33250 | hash_short=7c334738","Trace tecnico de text_embed para diagnostico de consistencia de conteudo.","","","","","",""
"22","15/03/2026 00:17:18","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","FILES_ITEM_TRACE","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Resolucao de item FILES declarado no INPUTS | Aplicacao de flags required/latest/as_pdf/as_is/text_embed | Upload/ligacao de anexos no pedido | Associacao de ficheiro por file_id no payload | contexto: requested=PROMPT_TEMPLATE*.csv | resolved=PROMPT_TEMPLATE.csv | full_path=C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER\PROMPT_TEMPLATE.csv | status=OK | mode=text_embed","status=OK | required=SIM | requested=PROMPT_TEMPLATE*.csv | resolved=PROMPT_TEMPLATE.csv | mode=text_embed | file_id= | full_path=C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER\PROMPT_TEMPLATE.csv | problema_tipo=ANEXADO_COM_SUCESSO | explicacao=Ficheiro resolvido e processado sem erro para o modo pedido/efetivo. Regra latest ativa.","Sem acao necessaria.","","","","","",""
"23","15/03/2026 00:17:18","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","TEXT_EMBED_TRACE","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Preparacao e transformacao de anexos | Rastreio de integridade de text_embed (name/len_chars/hash_short)","name=FLOW_TEMPLATE.csv | len_chars=1825 | hash_short=380af404","Trace tecnico de text_embed para diagnostico de consistencia de conteudo.","","","","","",""
"24","15/03/2026 00:17:18","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","TEXT_EMBED_TRACE","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Preparacao e transformacao de anexos | Rastreio de integridade de text_embed (name/len_chars/hash_short)","name=FLOW_TEMPLATE.csv | len_chars=1825 | hash_short=a59a8e54","Trace tecnico de text_embed para diagnostico de consistencia de conteudo.","","","","","",""
"25","15/03/2026 00:17:18","0","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","FILES_ITEM_TRACE","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Resolucao de item FILES declarado no INPUTS | Aplicacao de flags required/latest/as_pdf/as_is/text_embed | Upload/ligacao de anexos no pedido | Associacao de ficheiro por file_id no payload | contexto: requested=FLOW_TEMPLATE*.csv | resolved=FLOW_TEMPLATE.csv | full_path=C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER\FLOW_TEMPLATE.csv | status=OK | mode=text_embed","status=OK | required=SIM | requested=FLOW_TEMPLATE*.csv | resolved=FLOW_TEMPLATE.csv | mode=text_embed | file_id= | full_path=C:\Users\pnico\OneDrive - Universidade de Lisboa\Investigação - TÉCNICA IA\PIPELINE_MAKER\FLOW_TEMPLATE.csv | problema_tipo=ANEXADO_COM_SUCESSO | explicacao=Ficheiro resolvido e processado sem erro para o modo pedido/efetivo. Regra latest ativa.","Sem acao necessaria.","","","","","",""
"26","15/03/2026 00:17:18","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","FILES","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Preparacao e transformacao de anexos | Upload/ligacao de anexos no pedido | Associacao de ficheiro por file_id no payload","Anexacao OK (input_file/input_image com file_id). fileIds=[file-YH2X92ynPr1DbxyB4xNuHF; file-FCuQ1bWzjZZq31qsnAQkjS]","Nota: file_id presente implica que houve upload anterior ou reutilizacao valida.","","","","","",""
"27","15/03/2026 00:17:18","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","FILES","Gestao de anexos e transformacao de ficheiros da pipeline.
ACAO EM CURSO: Preparacao e transformacao de anexos | Upload/ligacao de anexos no pedido | Associacao de ficheiro por file_id no payload","Anexacao OK via text_embed. blocos_text_embed=2","Nota: text_embed coexiste com input_file/input_image quando ha anexos mistos; neste modo nao existe file_id para os ficheiros textuais.","","","","","",""
"28","15/03/2026 00:17:18","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","REQ_INPUT_JSON","Comunicacao com a API e validacao tecnica do pedido.
ACAO EM CURSO: Montagem do bloco input do request | Validacao de anexos (input_file/input_image/text_embed) | Associacao de ficheiro por file_id no payload | contexto: file=SIM","len=40396 | has_input_file=SIM | has_input_image=NAO | has_text_embed=SIM | preview=[{""role"":""user"",""content"":[{""type"":""input_file"",""file_id"":""file-YH2X92ynPr1DbxyB4xNuHF""},{""type"":""input_file"",""file_id"":""file-FCuQ1bWzjZZq31qsnAQkjS""},{""type"":""input_text"",""text"":""NOME DA PROMPT (metadado interno — NÃO IMPRIMIR NO OUTPUT)\nNome curto: Auditoria e Optimização de Prompts + Configuração para PIPELINER (handoff via variáveis ContextKV)","Input final construído; este retrato confirma se anexos seguiram como file/image e/ou text_embed. Se esperava text_embed, validar has_text_embed=SIM e blocos BEGIN/END FILE no payload dump.","","","","","",""
"29","15/03/2026 00:17:18","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | Preparacao da chamada /v1/responses | contexto: stage=before_api","stage=before_api | lenInputJsonFinal=40396","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
"30","15/03/2026 00:17:19","1","PIPELINE_MAKER_ContextKV/01/WF_PROMPT_AUDIT/v1.5","INFO","","STEP_STAGE","Controlo do fluxo e dos limites de execucao da pipeline.
ACAO EM CURSO: Atualizacao do stage de execucao | Disparo do pedido HTTP para a API | contexto: stage=api_call_start","stage=api_call_start | model=gpt-5.4","Use o ultimo stage para localizar o ponto em que a execucao parou antes do Seguimento.","","","","","",""
